### Color list details
Originally, each theme has a palette folder, each palette has one tga image
per object, and each image has a horizontal sequence of 64x64 tiles, one for
each differently colored portion of the object.

The following is a list of tables. The first one contains the list of objects
with their ID, name, number of different colors, and the corresponding palette
file. The second one specifies what each mask color represents and the
corresponding filename used in Ned++ (only some are used).

Note: The switches for the locked and trap doors are included in the same
palette as their corresponding doors. Toggle mines are also with mines,
and micro drones use the same palette as zap drones.

# Object ID | Object Name | Colors | Palette Filename
00 | Ninja (4)      | 4 | ninja.tga
01 | Mine           | 4 | entityMine.tga
02 | Gold           | 3 | entityGold.tga
03 | Exit door      | 8 | entityDoorExit.tga
04 | Exit switch    | 5 | entityDoorExitSwitch.tga
05 | Regular door   | 1 | entityDoorRegular.tga
06 | Locked door    | 8 | entityDoorLocked.tga
07 | Locked switch  | - | -
08 | Trap door      | 8 | entityDoorTrap.tga
09 | Trap switch    | - | -
0A | Launchpad      | 2 | entityLaunchPad.tga
0B | One-Way        | 2 | entityOneWayPlatform.tga
0C | Chaingun drone | 2 | entityDroneChaingun.tga
0D | Laser drone    | 4 | entityDroneLaser.tga
0E | Zap drone      | 2 | entityDroneZap.tga
0F | Chaser drone   | 2 | entityDroneChaser.tga
10 | Floor guard    | 2 | entityFloorGuard.tga
11 | Bounce block   | 2 | entityBounceBlock.tga
12 | Rocket turret  | 4 | entityRocket.tga
13 | Gauss turret   | 5 | entityTurret.tga
14 | Thwump         | 3 | entityThwomp.tga
15 | Toggle mine    | - | -
16 | Evil ninja     | 2 | entityEvilNinja.tga
17 | Laser turret   | 2 | entityDualLaser.tga
18 | Boost pad      | 2 | entityBoostPad.tga
19 | Deathball      | 3 | entityBat.tga
1A | Micro drone    | - | -
1B | Whiteball      | 2 | entityEyeBat.tga
1C | Shove Thwump   | 3 | entityShoveThwomp.tga

# Filename | Portion in the palette's order
00-0 | Ninja 1
00-1 | Ninja 2
00-2 | Ninja 3
00-3 | Ninja 4
01-0 | Mine exterior
01-1 | Mine interior
02-0 | Gold interior
02-1 | Gold exterior
02-2 | Gold shine
03-0 | Closed door interior
03-1 | Closed door borders
03-2 | Opened door interior
03-3 | Opened door details
03-4 | ?
03-5 | ?
03-6 | ?
03-7 | ?
04-0 | Border, untoggled
04-1 | Border, toggled
04-2 | Center
04-3 | Background, untoggled
04-4 | Background, toggled
05-0 | Door
06-0 | Door bar
06-1 | Door center
07-0 | Switch button, untoggled
07-1 | Switch border, untoggled
07-2 | Switch button, toggled
07-3 | Switch border, toggled
07-4 | Switch background, untoggled
07-5 | Switch background, toggled
08-0 | Trap door bar
08-1 | Trap door bulges
09-0 | ?
09-1 | ?
09-2 | Switch border, untoggled
09-3 | Switch border, toggled
09-4 | Switch background, untoggled
09-5 | Switch background, toggled
0A-0 | Big pad
0A-1 | Small pad
0B-0 | Long platform
0B-1 | Short platform
0C-0 | Chaingun drone background
0C-1 | Chaingun drone border
0D-0 | Laser drone interior, firing. Also, laser 1.
0D-1 | Laser drone laser 2.
0D-2 | Laser drone border.
0D-3 | Laser drone aiming line.
0E-0 | Zap drone background.
0E-1 | Zap drone border.
0F-0 | Chaser drone background.
0F-1 | Chaser drone border.
10-0 | Floorguard main color.
10-1 | Floorguard eye.
11-0 | Bounceblock interior.
11-1 | Bounceblock border.
12-0 | Rocket turret center.
12-1 | Rocket turret border
12-2 | Rocket color.
12-3 | Rocket fumes.
13-0 | Gauss interior.
13-1 | Gauss border.
13-2 | Gauss aiming cross.
13-3 | Gauss bullet.
13-4 | Gauss squiggly lines.
14-0 | Thwump border.
14-1 | Thwump interior.
14-2 | Thwump ray.
15-0 | Toggle mine.
15-1 | Toggle mine activating.
16-0 | Evil ninja spawn.
16-1 | Evil ninja.
17-0 | Laser turrets turret.
17-1 | Laser turrets laser.
18-0 | Boost pad, inactive.
18-1 | Boost pad, active.
19-0 | Deathball inner circle
19-1 | Deathball middle circle
19-2 | Deathball outter circle
1A-0 | Microdrone interior.
1A-1 | Microdrone border.
1B-0 | Whiteball.
1B-1 | Whiteball.
1C-0 | Shove thwump interior.
1C-1 | Shove thwump ray.
1C-2 | Shove thwump armor.
